iter	TotalF1	MultiClass
0	0.5287389336	1.081917065
1	0.5625948161	1.067301043
2	0.5908142096	1.054677347
3	0.5923796155	1.045782383
4	0.5930803461	1.035036515
5	0.6017500728	1.025563027
6	0.5905403404	1.015159787
7	0.5925770571	1.005239991
8	0.602628886	0.9987920178
9	0.5971500524	0.9899363846
10	0.6011203968	0.9813652446
11	0.6101078744	0.9738811326
12	0.6052458399	0.9662577534
13	0.5939196601	0.9604856795
14	0.5897470531	0.9556769204
15	0.5791503948	0.9496993046
16	0.6018672048	0.9436929082
17	0.6027638152	0.9376785119
18	0.592935506	0.9340665149
19	0.6003511026	0.9288939399
20	0.5903730664	0.9235773137
21	0.6263710267	0.9175149969
22	0.6247774583	0.9129349707
23	0.6227771392	0.9077764742
24	0.6338601798	0.9037785356
25	0.6117779275	0.8981684828
26	0.6264288939	0.8949076623
27	0.6310276007	0.8904913469
28	0.6549226481	0.8870036091
29	0.6464628562	0.8840589092
30	0.6530437862	0.8820292118
31	0.6557008375	0.8788981095
32	0.6602631996	0.8758950086
33	0.6575800065	0.8731136799
34	0.6693335058	0.8693589449
35	0.661525233	0.8658151224
36	0.658831779	0.8637802902
37	0.6654371726	0.8600361727
38	0.665412019	0.8588864845
39	0.6615149171	0.8569049066
40	0.6549226481	0.8550667684
41	0.6642261362	0.8531928203
42	0.6564230729	0.8488019969
43	0.6590628498	0.8472160564
44	0.6564230729	0.844884797
45	0.6603560622	0.842470848
46	0.656491021	0.8392282327
47	0.6643306692	0.8359029964
48	0.6701031837	0.8346447396
49	0.667396444	0.8317287541
50	0.667396444	0.8298826053
51	0.6700768161	0.828186105
52	0.6700768161	0.8263932349
53	0.6661409299	0.8253083257
54	0.6727498718	0.823611159
55	0.6727579867	0.821662842
56	0.6648189286	0.8193685993
57	0.6648189286	0.8162848816
58	0.6648189286	0.8144119937
59	0.6687973406	0.8127380268
60	0.6785956139	0.8110350301
61	0.6785956139	0.8088583344
62	0.6812743869	0.807514856
63	0.6755600924	0.8059223288
64	0.6689233613	0.8036884137
65	0.6812743869	0.801067615
66	0.6772807772	0.7995510741
67	0.6742240377	0.7973216684
68	0.671576953	0.7953792583
69	0.6848122356	0.7926649997
70	0.6932841869	0.7916324381
71	0.6833740666	0.7902109829
72	0.6932326267	0.788780823
73	0.6814700501	0.7873541572
74	0.6932326267	0.7850500443
75	0.6847110198	0.7824134466
76	0.6847110198	0.781694023
77	0.6951933009	0.7782306728
78	0.6951933009	0.7772363571
79	0.6978601198	0.7753189109
80	0.7063868125	0.7727364279
81	0.7090483222	0.7702043193
82	0.7117044456	0.7689012579
83	0.7188523669	0.7663809476
84	0.7273378107	0.7636116814
85	0.7241793635	0.7620705179
86	0.7182819285	0.7599776736
87	0.7143268056	0.7576044833
88	0.7281348891	0.7551403943
89	0.7241801683	0.7517487415
90	0.7241801683	0.7493465336
91	0.7241801683	0.7473734795
92	0.7340363777	0.7450472688
93	0.7340363777	0.7438503693
94	0.7340363777	0.7423988021
95	0.7398049236	0.7399683074
96	0.7339684752	0.7386282887
97	0.7339684752	0.7375392664
98	0.7398049236	0.7368399998
99	0.7398049236	0.7351523611
100	0.7339684752	0.7324404282
101	0.7339684752	0.7302603639
102	0.7417976452	0.7285182301
103	0.7417976452	0.7261989736
104	0.7476524634	0.7231140731
105	0.7534840954	0.7208605319
106	0.7631527868	0.7184578567
107	0.7649773341	0.7160657928
108	0.7649636375	0.7145912491
109	0.7592138346	0.7133183477
110	0.76199149	0.7105306317
111	0.76199149	0.708816089
112	0.7659465432	0.7075627644
113	0.7601345388	0.706091002
114	0.76199149	0.7039541102
115	0.7607442938	0.7002997582
116	0.766423043	0.6979174551
117	0.7606652986	0.6966066226
118	0.7664157767	0.6936616959
119	0.7664157767	0.6927546832
120	0.7663826688	0.6912972296
121	0.776108635	0.6890715979
122	0.7720819161	0.6871233781
123	0.7760682041	0.6849409651
124	0.776108635	0.6818196742
125	0.7760682041	0.6805191908
126	0.7760682041	0.6792037865
127	0.776108635	0.6771662527
128	0.7874546471	0.6757132989
129	0.7874546471	0.674017715
130	0.7817678126	0.6725032253
131	0.7873595702	0.6714642819
132	0.7817678126	0.6706053461
133	0.7835180407	0.6682097585
134	0.7835180407	0.6663093926
135	0.7930601999	0.6638649159
136	0.8012989451	0.661760299
137	0.7957692035	0.6599341986
138	0.7957692035	0.6575463213
139	0.7998055815	0.6561227294
140	0.8109462694	0.6540227267
141	0.8109462694	0.6526324252
142	0.8109462694	0.6503614706
143	0.8149286091	0.6486501095
144	0.8176474795	0.6472247344
145	0.8176474795	0.6461846529
146	0.8176685733	0.6448684134
147	0.8216495937	0.6430263592
148	0.8216495937	0.6413635662
149	0.8216495937	0.6401812501
150	0.8216495937	0.6389595526
151	0.8216495937	0.6370667515
152	0.8188979063	0.635690684
153	0.8188767822	0.6346527709
154	0.8188767822	0.6323508787
155	0.8188767822	0.6302636352
156	0.8188767822	0.6286818509
157	0.8188767822	0.6276417579
158	0.8216495937	0.6251405905
159	0.8216495937	0.6237928439
160	0.8216495937	0.6224148145
161	0.8243956384	0.6209674783
162	0.8284456247	0.6191711167
163	0.8216495937	0.6170533854
164	0.8243956384	0.6153476393
165	0.8216495937	0.6131544067
166	0.8216495937	0.6104914096
167	0.8216495937	0.6088852155
168	0.8256965493	0.6072067287
169	0.8284456247	0.6048111321
170	0.8284456247	0.6030703487
171	0.8284456247	0.6015417785
172	0.8284456247	0.6003539639
173	0.8351539073	0.598038133
174	0.8351539073	0.5968901299
175	0.8351539073	0.5953670822
176	0.8323981188	0.5938805605
177	0.8323981188	0.5924372034
178	0.8351539073	0.5906277461
179	0.8351539073	0.588996044
180	0.8351539073	0.5879356091
181	0.8351539073	0.5857948294
182	0.8351539073	0.5841074876
183	0.8351539073	0.5824499559
184	0.8351539073	0.5810914163
185	0.8391082549	0.5790626946
186	0.8391082549	0.5776789484
187	0.8430530524	0.5769027241
188	0.8391082549	0.5758008429
189	0.8391082549	0.574436747
190	0.844691092	0.5728188192
191	0.844691092	0.5713395806
192	0.8486362157	0.569979558
193	0.8486362157	0.5688850236
194	0.8486362157	0.5678739025
195	0.8486362157	0.5669754887
196	0.8486362157	0.5661504578
197	0.8486362157	0.5647212234
198	0.8486362157	0.5638380098
199	0.8486362157	0.5620726841
200	0.8486362157	0.5608637064
201	0.8486362157	0.5598204818
202	0.8486362157	0.5588802042
203	0.8486362157	0.5576848205
204	0.851405892	0.5561160626
205	0.851405892	0.5547810295
206	0.851405892	0.5535656304
207	0.8486362157	0.5525305241
208	0.851405892	0.5519093393
209	0.8486362157	0.5509138095
210	0.8486362157	0.5493661594
211	0.8486293801	0.5480140021
212	0.8514079412	0.5467013032
213	0.8514079412	0.5457599053
214	0.8514079412	0.5449806106
215	0.8514079412	0.543591364
216	0.8541819487	0.5424210732
217	0.8541819487	0.5415604807
218	0.8541819487	0.5402804476
219	0.8541709107	0.5390014662
220	0.8541819487	0.5385386481
221	0.8541709107	0.5370972376
222	0.851405892	0.5358135727
223	0.851405892	0.5349173433
224	0.8541709107	0.5337175737
225	0.8514079412	0.5326125951
226	0.8514079412	0.5317650232
227	0.8541819487	0.5304208789
228	0.8541819487	0.5294100699
229	0.8541709107	0.5281171651
230	0.8541819487	0.5267050526
231	0.8541819487	0.5258967514
232	0.8541819487	0.5247449116
233	0.8541819487	0.5231882755
234	0.8541819487	0.5224246254
235	0.8541819487	0.521471738
236	0.8541819487	0.5207916152
237	0.8581466808	0.5198195958
238	0.8581466808	0.5190418032
239	0.8581466808	0.5183021696
240	0.8581466808	0.5171476985
241	0.8541709107	0.5158232083
242	0.8541709107	0.5144535222
243	0.8581466808	0.5134591476
244	0.8581466808	0.5123380347
245	0.8581466808	0.5113559986
246	0.8581466808	0.5106536922
247	0.8581466808	0.5098915559
248	0.8621155946	0.5088383229
249	0.8621155946	0.5080568515
250	0.8677183396	0.5070191934
251	0.8677183396	0.5053472185
252	0.8677183396	0.5044437063
253	0.8677183396	0.503817525
254	0.8637338268	0.5022067034
255	0.863744012	0.5010422401
256	0.8677183396	0.5003376106
257	0.8677183396	0.499777598
258	0.8677183396	0.4989357626
259	0.8693402101	0.4977164298
260	0.8677497178	0.4963735114
261	0.8733456678	0.4954497611
262	0.8733456678	0.4942091681
263	0.8733456678	0.492925337
264	0.8812377827	0.4918562871
265	0.8812377827	0.4911570938
266	0.8812377827	0.4894969334
267	0.8812377827	0.4887715627
268	0.8812377827	0.4874034239
269	0.8812377827	0.4864451221
270	0.8812377827	0.4852884261
271	0.8812377827	0.4842045683
272	0.8812377827	0.4834736869
273	0.8812377827	0.4824249432
274	0.8812377827	0.4818471731
275	0.8812377827	0.4811525897
276	0.8812588534	0.4802403781
277	0.8812588534	0.4786218946
278	0.8812588534	0.4777933786
279	0.8812588534	0.4766207371
280	0.8812377827	0.4751967627
281	0.8812377827	0.4738729577
282	0.8812377827	0.4732690591
283	0.8868109697	0.4724133457
284	0.8868109697	0.4717735926
285	0.8868109697	0.4712987754
286	0.8840266452	0.4704051308
287	0.8840266452	0.4697543092
288	0.8879978483	0.4686836541
289	0.8840266452	0.4679498641
290	0.8840266452	0.4672339277
291	0.8840266452	0.4664121119
292	0.8840266452	0.4657982198
293	0.8840266452	0.4649838443
294	0.8840266452	0.4638271059
295	0.8840266452	0.4630207548
296	0.8868109697	0.4619191281
297	0.8868109697	0.4610865705
298	0.8907222271	0.4595063713
299	0.893498028	0.4587127729
300	0.8974499651	0.4577452098
301	0.8974657076	0.4567928684
302	0.8974657076	0.4557190892
303	0.8974657076	0.4546699441
304	0.8974657076	0.4534609913
305	0.8974657076	0.4525775556
306	0.8974499651	0.4514866785
307	0.8974499651	0.4508304075
308	0.8974499651	0.4503858426
309	0.8974657076	0.4495897227
310	0.8974657076	0.4489013335
311	0.8974499651	0.4484364802
312	0.8974499651	0.4477235758
313	0.8974499651	0.4471157688
314	0.8974657076	0.4463716516
315	0.8974657076	0.4455069395
316	0.9030410418	0.4448502266
317	0.9097296798	0.4441043949
318	0.9097296798	0.4432170668
319	0.9097296798	0.4424428037
320	0.9097296798	0.4417177385
321	0.9097296798	0.4412880704
322	0.9097296798	0.4403192771
323	0.9097296798	0.4394613189
324	0.9097296798	0.4390112746
325	0.9097296798	0.4378602872
326	0.9097296798	0.4371120772
327	0.9136588299	0.4364685491
328	0.9136588299	0.4352299128
329	0.9136588299	0.4344041323
330	0.9136588299	0.4335925542
331	0.9136588299	0.4328365794
332	0.9136588299	0.4322288144
333	0.9175854569	0.4315075157
334	0.9136588299	0.4310991776
335	0.9136588299	0.430474026
336	0.9175854569	0.4300303293
337	0.9136588299	0.4294732905
338	0.9136588299	0.4285885897
339	0.9136588299	0.4280127697
340	0.9136588299	0.4271174237
341	0.9192606365	0.4259152242
342	0.9192606365	0.4253145658
343	0.9192606365	0.424145288
344	0.9192606365	0.4235075782
345	0.9192606365	0.4229684128
346	0.9192848566	0.422208634
347	0.9192848566	0.4216199263
348	0.9192848566	0.4208048966
349	0.9154157906	0.4201484178
350	0.9193716527	0.4195599658
351	0.9233250274	0.4187756955
352	0.9233250274	0.4181783207
353	0.9233250274	0.4174544968
354	0.927144689	0.4167051305
355	0.9299350182	0.4160133292
356	0.927144689	0.4154346721
357	0.9299350182	0.4147874162
358	0.9299350182	0.4139140618
359	0.927144689	0.4131523383
360	0.9299350182	0.4122376596
361	0.9299350182	0.4115494859
362	0.9299177995	0.4105838982
363	0.9299177995	0.4097245902
364	0.9299177995	0.4089071779
365	0.9338459935	0.4082928421
366	0.9338643027	0.4073935266
367	0.9338643027	0.4066515202
368	0.9338643027	0.4059127632
369	0.9338643027	0.4050309408
370	0.9299350182	0.4044201246
371	0.9299350182	0.4031812619
372	0.9327214973	0.4023735182
373	0.9327214973	0.4015921776
374	0.9327214973	0.4009787977
375	0.9327214973	0.4001896957
376	0.9327214973	0.3995985197
377	0.9327214973	0.3986768503
378	0.9355044084	0.3980359955
379	0.9394366228	0.397607901
380	0.9394366228	0.3968128009
381	0.9394366228	0.3959012137
382	0.9394366228	0.3953470888
383	0.9394366228	0.3944650433
384	0.9394366228	0.3939956678
385	0.9355044084	0.3933914706
386	0.9355044084	0.3926190589
387	0.9355044084	0.3919260621
388	0.9355044084	0.3912564215
389	0.9394366228	0.3906899916
390	0.9355044084	0.3898752115
391	0.9394366228	0.3894734732
392	0.9394366228	0.3885033118
393	0.9394366228	0.3874852102
394	0.9355044084	0.3869580425
395	0.9355044084	0.3861012736
396	0.9394366228	0.3853037282
397	0.9394366228	0.3847410562
398	0.9355044084	0.3839746006
399	0.9394366228	0.3828304404
400	0.9394366228	0.3823212972
401	0.9394366228	0.3817794715
402	0.9394366228	0.3810760725
403	0.9394366228	0.3806257058
404	0.9394366228	0.3799069842
405	0.9394366228	0.3791912986
406	0.9394366228	0.3787371483
407	0.9432692419	0.3783160902
408	0.9432692419	0.3778578601
409	0.9432692419	0.3772765613
410	0.9394366228	0.3766118426
