iter	Passed	Remaining
0	59	59240
1	60	30176
2	61	20385
3	62	15537
4	63	12639
5	64	10716
6	65	9339
7	67	8332
8	68	7543
9	69	6895
10	70	6363
11	71	5919
12	73	5542
13	74	5214
14	75	4939
15	76	4694
16	77	4492
17	79	4312
18	80	4135
19	81	3987
20	82	3862
21	84	3741
22	85	3627
23	86	3526
24	87	3429
25	88	3333
26	90	3250
27	91	3170
28	92	3096
29	93	3023
30	94	2960
31	96	2905
32	97	2851
33	97	2783
34	99	2733
35	99	2674
36	101	2634
37	102	2599
38	103	2562
39	105	2522
40	106	2486
41	107	2454
42	108	2422
43	109	2386
44	111	2360
45	112	2322
46	113	2294
47	114	2263
48	115	2237
49	116	2210
50	117	2186
51	118	2156
52	119	2137
53	120	2116
54	122	2096
55	122	2071
56	123	2045
57	124	2021
58	125	1998
59	126	1975
60	126	1950
61	128	1937
62	129	1918
63	129	1896
64	130	1875
65	131	1859
66	132	1847
67	133	1832
68	134	1817
69	135	1802
70	136	1790
71	137	1772
72	138	1761
73	140	1752
74	141	1741
75	142	1732
76	143	1722
77	144	1710
78	145	1700
79	147	1690
80	147	1678
81	148	1665
82	149	1657
83	150	1643
84	151	1630
85	152	1623
86	154	1616
87	155	1609
88	156	1601
89	157	1591
90	158	1584
91	159	1575
92	160	1569
93	162	1562
94	163	1553
95	164	1548
96	165	1542
97	166	1536
98	167	1528
99	169	1523
100	170	1517
101	171	1510
102	172	1505
103	174	1499
104	175	1493
105	175	1483
106	176	1474
107	177	1468
108	179	1463
109	179	1454
110	180	1445
111	181	1440
112	182	1434
113	183	1429
114	185	1424
115	186	1417
116	186	1410
117	187	1401
118	188	1395
119	189	1387
120	190	1380
121	191	1376
122	192	1370
123	192	1362
124	193	1354
125	194	1351
126	195	1345
127	197	1342
128	198	1338
129	199	1334
130	200	1330
131	201	1325
132	202	1319
133	203	1314
134	204	1308
135	205	1303
136	206	1298
137	206	1291
138	207	1286
139	208	1283
140	210	1280
141	211	1277
142	212	1274
143	213	1270
144	214	1266
145	215	1260
146	216	1257
147	217	1252
148	218	1246
149	218	1240
150	219	1234
151	220	1228
152	221	1225
153	222	1222
154	223	1218
155	224	1216
156	225	1213
157	226	1208
158	227	1204
159	228	1199
160	229	1194
161	230	1191
162	231	1188
163	232	1186
164	233	1183
165	235	1180
166	236	1178
167	237	1175
168	238	1172
169	239	1168
170	239	1163
171	241	1160
172	241	1155
173	242	1150
174	243	1147
175	244	1142
176	245	1139
177	245	1134
178	246	1128
179	246	1124
180	248	1122
181	249	1120
182	250	1116
183	251	1113
184	251	1110
185	253	1107
186	254	1105
187	255	1103
188	256	1100
189	257	1098
190	258	1095
191	259	1092
192	260	1089
193	261	1086
194	262	1084
195	263	1082
196	264	1079
197	265	1077
198	267	1074
199	268	1073
200	269	1070
201	270	1067
202	271	1064
203	271	1061
204	273	1058
205	273	1055
206	274	1053
207	276	1051
208	276	1047
209	277	1045
210	278	1041
211	279	1039
212	280	1035
213	281	1032
214	282	1030
215	283	1028
216	284	1024
217	285	1022
218	286	1020
219	287	1018
220	288	1015
221	289	1013
222	289	1010
223	290	1008
224	291	1004
225	292	1002
226	293	1000
227	294	998
228	295	996
229	296	994
230	297	990
231	298	987
232	299	985
233	300	983
234	301	980
235	302	977
236	303	975
237	304	973
238	305	972
239	305	968
240	307	967
241	308	965
242	309	963
243	310	960
244	311	958
245	312	956
246	312	954
247	314	953
248	315	951
249	316	949
250	317	946
251	317	943
